Title,Year,Score,Genre,Vote,Director,Runtime,Revenue,Oscar,Guild,Globe,win,nominee
'71,2014,7.2,"Action, Drama, Thriller",44532,Yann Demange,99,1.27,-1.0,-1.0,-1.0,-1.0,False
'A' gai wak,1983,7.4,"Action, Comedy",12657,Jackie Chan,105,,-1.0,-1.0,-1.0,-1.0,False
'A' gai wak 2,1987,7.2,"Action, Comedy, Crime",7739,Jackie Chan,101,,-1.0,-1.0,-1.0,-1.0,False
'I Know Where I'm Going!',1945,7.6,"Drama, Romance",6861,Michael Powell,91,,-1.0,-1.0,-1.0,-1.0,False
(T)Raumschiff Surprise - Periode 1,2004,5.4,"Comedy, Sci-Fi",12158,Michael Herbig,87,,-1.0,-1.0,-1.0,-1.0,False
*batteries not included,1987,6.6,"Comedy, Family, Fantasy",27239,Matthew Robbins,106,32.95,-1.0,-1.0,-1.0,-1.0,False
...E tu vivrai nel terrore! L'aldilà,1981,6.9,Horror,17417,Lucio Fulci,87,0.12,-1.0,-1.0,-1.0,-1.0,False
...and justice for all.,1979,7.4,"Crime, Drama, Thriller",26758,Norman Jewison,119,,-1.0,-1.0,-1.0,-1.0,False
0.45,2006,5.7,"Crime, Drama, Thriller",7700,Gary Lennon,101,,-1.0,-1.0,-1.0,-1.0,False
02:22,2017,5.7,Thriller,14734,Paul Currie,98,,-1.0,-1.0,-1.0,-1.0,False
02:37,2006,6.9,Drama,6657,Murali K. Thalluri,95,,-1.0,-1.0,-1.0,-1.0,False
1 - Nenokkadine,2014,8.3,"Action, Mystery, Thriller",40307,Sukumar,170,,-1.0,-1.0,-1.0,-1.0,False
10,1979,6.0,"Comedy, Romance",13668,Blake Edwards,122,74.87,0.0,-1.0,0.0,0.0,True
10 Cloverfield Lane,2016,7.2,"Drama, Horror, Mystery",247999,Dan Trachtenberg,103,71.9,-1.0,-1.0,-1.0,-1.0,False
10 Items or Less,2006,6.7,"Comedy, Drama",13625,Brad Silberling,82,0.08,-1.0,-1.0,-1.0,-1.0,False
10 Rillington Place,1971,7.6,"Biography, Crime, Drama",6397,Richard Fleischer,111,,-1.0,-1.0,-1.0,-1.0,False
10 Things I Hate About You,1999,7.3,"Comedy, Drama, Romance",260280,Gil Junger,97,38.18,-1.0,-1.0,-1.0,-1.0,False
10 Years,2011,6.1,"Comedy, Drama, Romance",21877,Jamie Linden,100,0.2,-1.0,-1.0,-1.0,-1.0,False
"10,000 BC",2008,5.1,"Action, Adventure, Drama",118016,Roland Emmerich,109,94.78,-1.0,-1.0,-1.0,-1.0,False
100 Feet,2008,5.5,"Horror, Mystery, Thriller",11309,Eric Red,96,,-1.0,-1.0,-1.0,-1.0,False
100 Girls,2000,5.9,"Comedy, Romance",19592,Michael Davis,94,,-1.0,-1.0,-1.0,-1.0,False
101 Dalmatians,1996,5.7,"Adventure, Comedy, Crime",88274,Stephen Herek,103,136.19,-1.0,-1.0,0.0,0.0,True
